id,time,head,total_inflow
BC-BB-F3-18890,2019-03-23 08:14:00,0.030256,
BC-BB-F3-18890,2019-03-23 08:15:00,0.030145,
BC-BB-F3-18890,2019-03-23 08:16:00,0.030047,
BC-BB-F3-18890,2019-03-23 08:17:00,0.029959,
BC-BB-F3-18890,2019-03-23 08:18:00,0.029871,
BC-BB-F3-18890,2019-03-23 08:19:00,0.029769,
BC-BB-F3-18890,2019-03-23 08:20:00,0.029658,
BC-BB-F3-18890,2019-03-23 08:21:00,0.029544,
BC-BB-F3-18890,2019-03-23 08:22:00,0.029431,
BC-BB-F3-18890,2019-03-23 08:23:00,0.029322,
BC-BB-F3-18890,2019-03-23 08:24:00,0.029217,
BC-BB-F3-18890,2019-03-23 08:25:00,0.029126,
BC-BB-F3-18890,2019-03-23 08:26:00,0.029044,
BC-BB-F3-18890,2019-03-23 08:27:00,0.028961,
BC-BB-F3-18890,2019-03-23 08:28:00,0.028864,
BC-BB-F3-18890,2019-03-23 08:29:00,0.028759,
BC-BB-F3-18890,2019-03-23 08:30:00,0.02865,
BC-BB-F3-18890,2019-03-23 08:31:00,0.028543,
BC-BB-F3-18890,2019-03-23 08:32:00,0.028439,
BC-BB-F3-18890,2019-03-23 08:33:00,0.02834,
BC-BB-F3-18890,2019-03-23 08:34:00,0.028252,
BC-BB-F3-18890,2019-03-23 08:35:00,0.028176,
BC-BB-F3-18890,2019-03-23 08:36:00,0.028101,
BC-BB-F3-18890,2019-03-23 08:37:00,0.028011,
BC-BB-F3-18890,2019-03-23 08:38:00,0.027911,
BC-BB-F3-18890,2019-03-23 08:39:00,0.027806,
BC-BB-F3-18890,2019-03-23 08:40:00,0.027702,
BC-BB-F3-18890,2019-03-23 08:41:00,0.027601,
BC-BB-F3-18890,2019-03-23 08:42:00,0.027503,
BC-BB-F3-18890,2019-03-23 08:43:00,0.027412,
BC-BB-F3-18890,2019-03-23 08:44:00,0.027336,
BC-BB-F3-18890,2019-03-23 08:45:00,0.027265,
BC-BB-F3-18890,2019-03-23 08:46:00,0.027185,
BC-BB-F3-18890,2019-03-23 08:47:00,0.027092,
BC-BB-F3-18890,2019-03-23 08:48:00,0.026991,
BC-BB-F3-18890,2019-03-23 08:49:00,0.026889,
BC-BB-F3-18890,2019-03-23 08:50:00,0.026788,
BC-BB-F3-18890,2019-03-23 08:51:00,0.026691,
BC-BB-F3-18890,2019-03-23 08:52:00,0.026598,
BC-BB-F3-18890,2019-03-23 08:53:00,0.026514,
BC-BB-F3-18890,2019-03-23 08:54:00,0.026443,
BC-BB-F3-18890,2019-03-23 08:55:00,0.026374,
BC-BB-F3-18890,2019-03-23 08:56:00,0.026293,
BC-BB-F3-18890,2019-03-23 08:57:00,0.026199,
BC-BB-F3-18890,2019-03-23 08:58:00,0.026101,
BC-BB-F3-18890,2019-03-23 08:59:00,0.026002,
BC-BB-F3-18890,2019-03-23 09:00:00,0.025905,
BC-BB-F3-18890,2019-03-23 09:01:00,0.025812,
BC-BB-F3-18890,2019-03-23 09:02:00,0.025722,
BC-BB-F3-18890,2019-03-23 09:03:00,0.025641,
BC-BB-F3-18890,2019-03-23 09:04:00,0.025573,
